"G.A.B. Canvass Reporting System",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Ward by Ward Report",,,,,,,,,,,,,
,,,,,,,,,,,,,
"2012 PRESIDENTIAL AND GENERAL ELECTION",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President of the United States",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Total Votes Cast","REP","DEM","CON","IND",,"IND","IND","IND","IND","IND",
,,,"MITT ROMNEY
PAUL RYAN","BARACK OBAMA
JOE BIDEN","VIRGIL GOODE
JIM CLYMER","GARY JOHNSON
JAMES P. GRAY",,"GLORIA LA RIVA
FILBERTO RAMIREZ, JR.","JERRY WHITE
PHYLLIS SCHERRER","JILL STEIN
BEN MANSKI","ROSS C. ROCKY ANDERSON
LUIS J. RODRIGUEZ (WRITE-IN)","ROSEANNE BARR
CINDY LEE SHEEHAN (WRITE IN)","SCATTERING"
"ADAMS ","TOWN OF ADAMS Wards 1-3",639,270,357,3,5,,0,1,1,0,0,2
,"TOWN OF BIG FLATS WARDS 1 & 2",497,209,282,0,5,,0,1,0,0,0,0
,"TOWN OF COLBURN WARD 1",124,58,63,0,2,,0,1,0,0,0,0
,"TOWN OF DELL PRAIRIE WARDS 1-3",845,411,429,2,3,,0,0,0,0,0,0
,"TOWN OF EASTON WARDS 1 & 2",512,237,270,1,4,,0,0,0,0,0,0
,"TOWN OF JACKSON WARDS 1 & 2",567,253,310,0,4,,0,0,0,0,0,0
,"TOWN OF LEOLA WARD 1",154,102,50,1,0,,1,0,0,0,0,0
,"TOWN OF LINCOLN Ward 1",166,80,84,2,0,,0,0,0,0,0,0
,"TOWN OF MONROE WARD 1",263,126,135,0,2,,0,0,0,0,0,0
,"TOWN OF NEW CHESTER WARD 1-3",428,160,266,0,1,,1,0,0,0,0,0
,"TOWN OF NEW HAVEN WARD 1",371,152,207,1,8,,0,0,1,0,0,2
,"TOWN OF PRESTON WARDS 1 & 2",685,285,392,2,2,,0,0,1,0,0,3
,"TOWN OF QUINCY WARDS 1-3",755,253,497,1,1,,0,1,0,0,0,2
,"TOWN OF RICHFIELD WARD 1",88,42,44,0,2,,0,0,0,0,0,0
,"TOWN OF ROME Wards 1-5","1,860","1,025",826,1,3,,1,0,3,0,0,1
,"TOWN OF SPRINGVILLE WARDS 1 & 2",603,284,313,0,5,,0,0,1,0,0,0
,"TOWN OF STRONGS PRAIRIE Wards 1-3",619,280,330,1,3,,0,0,3,0,0,2
,"VILLAGE OF FRIENDSHIP WARD 1",298,109,185,0,0,,0,0,0,0,2,2
,"CITY OF ADAMS WARDS 1-4",798,298,497,1,1,,0,1,0,0,0,0
,"CITY OF WISCONSIN DELLS WARDS 5 & 9",15,10,5,0,0,,0,0,0,0,0,0
,"County Totals:","10,287","4,644","5,542",16,51,,3,5,10,0,2,14
"ASHLAND ","TOWN OF AGENDA Ward 1",239,136,101,0,1,,0,0,0,0,0,1
,"TOWN OF ASHLAND Ward 1",328,105,211,4,2,,0,0,6,0,0,0
,"TOWN OF CHIPPEWA Ward 1",223,111,105,1,3,,0,0,2,0,0,1
,"TOWN OF GINGLES Ward 1",427,143,276,2,1,,0,0,5,0,0,0
,"TOWN OF GORDON Wards 1-2",183,82,100,0,0,,0,0,1,0,0,0
,"TOWN OF JACOBS Ward 1",377,156,216,0,1,,1,1,2,0,0,0
,"TOWN OF LA POINTE Ward 1",267,51,209,1,3,,0,0,3,0,0,0
,"TOWN OF MARENGO Wards 1-2",210,82,125,0,0,,0,0,3,0,0,0
,"TOWN OF MORSE Wards 1-3",307,121,183,2,0,,0,0,1,0,0,0
,"TOWN OF PEEKSVILLE Wards 1-2",107,54,50,1,2,,0,0,0,0,0,0
,"TOWN OF SANBORN Wards 1-2",576,68,503,0,1,,0,0,3,0,0,1
,"TOWN OF SHANAGOLDEN Wards 1",73,34,39,0,0,,0,0,0,0,0,0
,"TOWN OF WHITE RIVER Wards 1-2",475,266,202,2,2,,0,0,3,0,0,0
,"VILLAGE OF BUTTERNUT Wards 1-2",175,66,108,0,1,,0,0,0,0,0,0
,"CITY OF ASHLAND WARD 1",450,218,231,0,0,,0,0,1,0,0,0
,"CITY OF ASHLAND WARD 2",306,84,216,0,0,,1,0,2,0,0,3
,"CITY OF ASHLAND WARD 3",321,100,213,0,6,,0,0,2,0,0,0
,"CITY OF ASHLAND WARD 4",453,171,278,0,1,,1,0,1,0,0,1
,"CITY OF ASHLAND WARD 5",401,110,289,0,1,,0,0,0,0,0,1
,"CITY OF ASHLAND WARD 6",314,85,222,0,5,,0,0,2,0,0,0
,"CITY OF ASHLAND WARD 7",412,94,288,0,9,,1,1,14,2,0,3
,"CITY OF ASHLAND WARD 8",345,111,228,0,2,,0,0,3,0,0,1
,"CITY OF ASHLAND WARD 9",310,62,241,0,4,,0,0,2,0,0,1
,"CITY OF ASHLAND WARD 10",353,99,249,1,1,,0,0,0,0,0,3
,"CITY OF ASHLAND WARD 11",394,106,286,1,0,,0,0,0,0,0,1
,"CITY OF MELLEN Ward 1",346,105,230,3,4,,0,1,3,0,0,0
,"County Totals:","8,372","2,820","5,399",18,50,,4,3,59,2,0,17
"BARRON ","TOWN OF ALMENA Wards 1-2",482,228,249,0,5,,0,0,0,0,0,0
,"TOWN OF ARLAND WARD 1",325,149,169,5,1,,0,0,1,0,0,0
,"TOWN OF BARRON Wards 1-2",404,257,142,0,3,,0,0,1,0,0,1
,"TOWN OF BEAR LAKE Ward 1",364,164,195,0,3,,0,0,2,0,0,0
,"TOWN OF CEDAR LAKE Ward 1",647,376,268,0,1,,0,0,1,0,0,1
,"TOWN OF CHETEK Wards 1 - 2","1,043",552,477,2,10,,0,1,1,0,0,0
,"TOWN OF CLINTON Ward 1",354,199,149,0,3,,0,0,2,0,0,1
,"TOWN OF CRYSTAL LAKE Ward 1",409,204,195,2,7,,0,0,1,0,0,0
,"TOWN OF CUMBERLAND Ward 1",452,230,214,2,3,,0,0,2,0,0,1
,"TOWN OF DALLAS Ward 1",295,168,118,3,5,,0,0,0,0,0,1
,"TOWN OF DOVRE Ward 1",374,189,185,0,0,,0,0,0,0,0,0
,"TOWN OF DOYLE Wards 1-2",284,174,106,0,4,,0,0,0,0,0,0
,"TOWN OF LAKELAND Wards 1-2",575,297,272,0,5,,0,0,1,0,0,0
,"TOWN OF MAPLE GROVE Wards 1-2",497,323,163,1,7,,0,0,2,0,0,1
,"TOWN OF MAPLE PLAIN Ward 1",481,239,238,1,2,,0,1,0,0,0,0
,"TOWN OF OAK GROVE Wards 1-2",502,241,255,2,2,,0,0,0,0,0,2
,"TOWN OF PRAIRIE FARM Wards 1-2",273,124,142,2,2,,0,0,0,0,0,3
,"TOWN OF PRAIRIE LAKE WARDS 1 & 2",861,481,367,3,8,,1,0,0,0,0,1
,"TOWN OF RICE LAKE WARDS 1-4","1,641",843,779,1,11,,0,0,4,0,0,3
,"TOWN OF SIOUX CREEK Ward 1",302,178,122,0,1,,1,0,0,0,0,0
,"TOWN OF STANFOLD Ward 1",371,194,177,0,0,,0,0,0,0,0,0
,"TOWN OF STANLEY Wards 1-4","1,325",734,576,1,6,,0,0,3,0,0,5
,"TOWN OF SUMNER Ward 1",399,208,190,0,1,,0,0,0,0,0,0
,"TOWN OF TURTLE LAKE Ward 1",299,150,139,1,8,,0,0,1,0,0,0
,"TOWN OF VANCE CREEK Ward 1",313,159,148,0,6,,0,0,0,0,0,0
,"VILLAGE OF ALMENA Ward 1",276,147,127,0,2,,0,0,0,0,0,0
,"VILLAGE OF CAMERON Wards 1-3",757,388,363,1,2,,0,0,2,0,0,1
,"VILLAGE OF DALLAS Ward 1",194,105,83,1,4,,0,0,1,0,0,0
,"VILLAGE OF HAUGEN Ward 1",149,65,80,1,2,,0,0,1,0,0,0
,"VILLAGE OF NEW AUBURN WARD 2",7,6,1,0,0,,0,0,0,0,0,0
,"VILLAGE OF NEW AUBURN WARD 3",2,1,1,0,0,,0,0,0,0,0,0
,"VILLAGE OF PRAIRIE FARM Ward 1",182,77,103,1,0,,0,0,0,0,0,1
,"VILLAGE OF TURTLE LAKE Ward 1",402,181,213,1,4,,0,0,1,0,0,2
,"CITY OF BARRON Wards 1-7","1,380",648,713,4,11,,0,1,3,0,0,0
,"CITY OF CHETEK Wards 1 - 4",970,471,482,0,11,,2,0,3,0,0,1
,"CITY OF CUMBERLAND Wards 1 - 4","1,050",439,598,2,5,,0,0,5,0,0,1
,"CITY OF RICE LAKE Wards 1-13","4,051","1,854","2,091",10,24,,1,3,16,15,23,14
,"County Totals:","22,692","11,443","10,890",47,169,,5,6,54,15,23,40
"BAYFIELD ","TOWN OF BARKSDALE Ward 1",482,198,272,2,5,,0,0,5,0,0,0
,"TOWN OF BARNES Ward 1",567,253,306,1,4,,0,0,3,0,0,0
,"TOWN OF BAYFIELD Ward 1",534,150,372,1,2,,0,0,7,0,0,2
,"TOWN OF BAYVIEW WARD 1",368,138,229,0,1,,0,0,0,0,0,0
,"TOWN OF BELL WARD 1",226,82,138,0,0,,0,0,6,0,0,0
,"TOWN OF CABLE WARD 1",528,270,256,1,1,,0,0,0,0,0,0
,"TOWN OF CLOVER WARD 1",179,70,104,0,4,,0,0,1,0,0,0
,"TOWN OF DELTA WARD 1",208,108,100,0,0,,0,0,0,0,0,0
,"TOWN OF DRUMMOND WARD 1",327,139,182,0,3,,0,0,3,0,0,0
,"TOWN OF EILEEN WARDS 1-2",420,170,245,1,0,,0,0,3,0,0,1
,"TOWN OF GRAND VIEW WARD 1",295,111,178,0,1,,0,0,4,0,0,1
,"TOWN OF HUGHES WARD 1",299,127,168,0,2,,0,0,2,0,0,0
,"TOWN OF IRON RIVER WARDS 1-2",738,308,418,2,5,,0,1,3,0,0,1
,"TOWN OF KELLY WARD 1",251,107,141,0,0,,0,0,2,0,0,1
,"TOWN OF KEYSTONE WARD 1",212,87,121,1,2,,0,0,0,0,0,1
,"TOWN OF LINCOLN WARD 1",181,77,101,0,0,,0,0,2,0,0,1
,"TOWN OF MASON WARD 1",179,84,94,0,1,,0,0,0,0,0,0
,"TOWN OF NAMAKAGON WARD 1",223,123,97,1,0,,0,0,1,0,0,1
,"TOWN OF ORIENTA WARD 1",86,37,42,0,3,,0,0,4,0,0,0
,"TOWN OF OULU WARD 1",332,151,177,1,1,,0,0,2,0,0,0
,"TOWN OF PILSEN Ward 1",146,52,92,0,2,,0,0,0,0,0,0
,"TOWN OF PORT WING Ward 1",274,99,173,0,1,,0,0,0,0,0,1
,"TOWN OF RUSSELL Wards 1 - 2",638,72,553,0,4,,0,0,9,0,0,0
,"TOWN OF TRIPP Ward 1",144,73,67,1,3,,0,0,0,0,0,0
,"TOWN OF WASHBURN Ward 1",362,121,237,1,2,,0,0,1,0,0,0
,"VILLAGE OF MASON Ward 1",50,16,32,0,2,,0,0,0,0,0,0
