"WEC Canvass Reporting System",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Ward by Ward Report",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"2016 General Election",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"PRESIDENT OF THE UNITED STATES",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,"Total Votes Cast","REP","DEM","CON","LIB",,"WGR","IND","IND","IND","IND","IND","IND","IND","IND","IND","IND","IND",
,,,"Donald J. Trump
Michael R. Pence","Hillary Clinton
Tim Kaine","Darrell L. Castle
Scott N. Bradley","Gary Johnson
Bill Weld",,"Jill Stein
Ajamu Baraka","Monica Moorehead
Lamont Lilly","Rocky Roque De La Fuente
Michael Steinberg","Cherunda Fox
Roger Kushner (write-in)","Evan McMullin
Nathan Johnson (write-in)","Michael A. Maturen
Juan Munoz (write-in)","Marshall Schoenke
James Creighton Mitchell Jr. (write-in)","Chris Keniston
Deacon Taylor (write-in)","Laurence Kotlikoff
Edward E. Leamer (write-in)","Tom Hoefling
Steve Schulin (write-in)","Joseph Maldonado (write-in)","Emidio Soltysik
Angela Nicole Walker (write-in)","SCATTERING"
"ADAMS ","TOWN OF ADAMS Wards 1-3",618,377,207,3,22,,4,1,0,0,3,0,0,0,0,0,0,0,1
,"TOWN OF BIG FLATS Ward 1-2",490,300,169,4,10,,4,0,0,0,0,0,0,0,0,0,0,0,3
,"TOWN OF COLBURN Ward 1",130,85,42,0,1,,2,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF DELL PRAIRIE Ward 1-3",820,474,301,3,27,,10,1,0,0,1,0,0,0,0,0,0,0,3
,"TOWN OF EASTON Wards 1-2",522,336,169,6,6,,1,0,0,0,1,0,0,0,0,0,0,0,3
,"TOWN OF JACKSON Ward 1-2",565,314,225,0,15,,3,0,0,0,3,0,0,0,0,0,0,0,5
,"TOWN OF LEOLA Ward 1",137,116,18,0,2,,0,1,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF LINCOLN Ward 1",180,98,76,1,2,,1,1,1,0,0,0,0,0,0,0,0,0,0
,"TOWN OF MONROE Ward 1",237,129,102,0,4,,0,0,0,0,2,0,0,0,0,0,0,0,0
,"TOWN OF NEW CHESTER Ward 1-3",401,247,138,1,14,,0,0,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF NEW HAVEN Ward 1",339,176,145,3,9,,4,0,0,0,0,0,0,0,0,0,0,0,2
,"TOWN OF PRESTON Ward 1-2",694,397,270,3,9,,10,0,1,0,1,0,0,0,0,0,0,0,3
,"TOWN OF QUINCY Ward 1-3",648,357,269,3,12,,6,1,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF RICHFIELD Ward 1",86,56,27,0,2,,0,0,1,0,0,0,0,0,0,0,0,0,0
,"TOWN OF ROME Ward 1-5","1,951","1,169",715,7,33,,13,0,0,0,0,0,0,0,0,0,0,0,14
,"TOWN OF SPRINGVILLE Ward 1-2",649,414,211,2,10,,7,1,0,0,0,0,0,0,0,0,0,0,4
,"TOWN OF STRONGS PRAIRIE Wards 1-3",609,376,213,2,11,,6,0,0,0,0,0,0,0,0,0,0,0,1
,"VILLAGE OF FRIENDSHIP Ward 1",285,154,117,1,11,,2,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF ADAMS Ward 1-4",748,377,325,6,15,,6,2,1,0,4,0,0,0,0,0,0,0,12
,"CITY OF WISCONSIN DELLS Wards 5,9",21,14,6,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"County Totals:","10,130","5,966","3,745",45,216,,79,8,4,0,15,0,0,0,0,0,0,0,52
"ASHLAND ","TOWN OF AGENDA Ward 1",227,151,68,1,6,,0,0,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF ASHLAND Ward 1",311,147,144,1,8,,7,1,0,0,0,0,0,0,0,0,0,0,3
,"TOWN OF CHIPPEWA Ward 1",209,128,72,1,4,,1,0,1,0,0,0,0,0,0,0,0,0,2
,"TOWN OF GINGLES Ward 1",430,198,211,3,5,,9,0,0,0,0,0,0,0,0,0,0,0,4
,"TOWN OF GORDON Wards 1-2",150,94,49,0,5,,0,0,0,0,0,0,0,0,0,1,0,0,1
,"TOWN OF JACOBS Ward 1",334,204,120,0,6,,1,0,0,0,2,0,0,0,0,0,0,0,1
,"TOWN OF LA POINTE Ward 1",242,53,159,0,8,,17,0,1,0,0,0,0,0,0,0,0,0,4
,"TOWN OF MARENGO Wards 1-2",212,101,92,0,8,,5,0,1,0,3,0,0,0,0,0,0,0,2
,"TOWN OF MORSE Wards 1-3",297,138,150,0,2,,1,1,0,0,0,0,0,0,0,0,0,0,5
,"TOWN OF PEEKSVILLE Wards 1-2",95,52,33,1,4,,3,0,0,0,1,0,0,0,0,0,0,0,1
,"TOWN OF SANBORN Wards 1-2",498,72,398,2,6,,11,1,0,0,0,0,0,0,0,0,0,0,8
,"TOWN OF SHANAGOLDEN Ward 1",64,32,28,0,2,,1,0,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF WHITE RIVER Wards 1-2",464,309,128,4,6,,14,0,0,0,1,0,0,0,0,0,0,0,2
,"VILLAGE OF BUTTERNUT Wards 1-2",177,84,86,0,4,,1,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF ASHLAND Ward 1",476,238,213,1,12,,5,0,0,0,0,0,0,0,0,0,0,0,7
,"CITY OF ASHLAND Ward 2",270,90,159,0,11,,2,3,0,0,0,0,0,0,0,0,0,0,5
,"CITY OF ASHLAND Ward 3",319,107,201,0,7,,3,0,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF ASHLAND Ward 4",451,164,258,1,17,,5,0,0,0,3,0,0,0,0,0,0,0,3
,"CITY OF ASHLAND Ward 5",396,100,271,2,10,,3,0,0,0,0,0,0,0,0,0,0,0,10
,"CITY OF ASHLAND Ward 6",308,94,193,0,5,,10,1,0,0,1,0,0,0,0,0,0,1,3
,"CITY OF ASHLAND Ward 7",476,115,303,0,15,,32,1,0,0,0,0,0,0,0,0,0,0,10
,"CITY OF ASHLAND Ward 8",317,105,185,1,15,,7,0,0,0,0,0,0,0,0,0,0,0,4
,"CITY OF ASHLAND Ward 9",287,88,175,3,6,,11,1,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF ASHLAND Ward 10",343,136,191,0,7,,7,0,0,0,0,0,0,0,0,0,0,0,2
,"CITY OF ASHLAND Ward 11",382,151,199,0,11,,10,1,0,0,0,0,0,0,0,0,0,0,10
,"CITY OF MELLEN Ward 1",297,152,140,0,4,,1,0,0,0,0,0,0,0,0,0,0,0,0
,"County Totals:","8,032","3,303","4,226",21,194,,167,10,3,0,11,0,0,0,0,1,0,1,95
"BARRON ","TOWN OF ALMENA Ward 1-2",483,306,148,4,21,,1,0,0,0,3,0,0,0,0,0,0,0,0
,"TOWN OF ARLAND Ward 1",317,180,107,4,19,,7,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF BARRON Ward 1-2",375,255,97,2,16,,1,0,0,0,4,0,0,0,0,0,0,0,0
,"TOWN OF BEAR LAKE Ward 1",377,226,133,1,10,,5,2,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF CEDAR LAKE Ward 1",697,471,210,1,11,,4,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF CHETEK Wards 1-2","1,055",651,375,0,22,,6,0,1,0,0,0,0,0,0,0,0,0,0
,"TOWN OF CLINTON Ward 1",355,220,112,3,19,,0,0,1,0,0,0,0,0,0,0,0,0,0
,"TOWN OF CRYSTAL LAKE Ward 1",411,266,137,2,2,,0,1,0,0,3,0,0,0,0,0,0,0,0
,"TOWN OF CUMBERLAND Ward 1",464,269,166,2,22,,0,0,0,0,0,0,0,0,0,0,0,0,5
,"TOWN OF DALLAS Ward 1",288,191,78,3,15,,0,0,0,0,1,0,0,0,0,0,0,0,0
,"TOWN OF DOVRE Ward 1",387,231,138,2,11,,2,0,0,0,2,0,0,0,0,0,0,0,1
,"TOWN OF DOYLE Ward 1-2",288,210,67,2,8,,1,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF LAKELAND Ward 1-2",563,341,201,1,15,,3,0,1,0,1,0,0,0,0,0,0,0,0
,"TOWN OF MAPLE GROVE Ward 1-2",485,342,110,4,23,,2,1,0,0,0,0,0,0,0,0,0,0,3
,"TOWN OF MAPLE PLAIN Ward 1",480,257,207,1,9,,4,0,0,0,1,0,0,0,0,0,0,0,1
,"TOWN OF OAK GROVE Ward 1-2",491,298,177,1,11,,1,0,0,0,1,0,0,0,0,0,0,0,2
,"TOWN OF PRAIRIE FARM Wards 1-2",278,169,92,3,9,,4,0,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF PRAIRIE LAKE Ward 1-2",855,555,261,5,25,,5,0,0,0,4,0,0,0,0,0,0,0,0
,"TOWN OF RICE LAKE Wards 1-4","1,595",947,580,3,32,,12,0,1,0,7,0,0,0,1,0,0,0,12
,"TOWN OF SIOUX CREEK Ward 1",294,184,94,3,11,,0,0,0,0,2,0,0,0,0,0,0,0,0
,"TOWN OF STANFOLD Ward 1",381,243,122,7,7,,1,0,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF STANLEY Ward 1-4","1,315",834,407,7,40,,13,0,1,0,5,0,0,1,0,0,0,0,7
,"TOWN OF SUMNER Ward 1",393,249,128,0,10,,2,0,0,0,2,0,0,0,0,0,0,0,2
,"TOWN OF TURTLE LAKE Ward 1",296,195,89,2,8,,1,1,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF VANCE CREEK Ward 1",343,210,113,4,12,,2,2,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF ALMENA Ward 1",303,209,74,1,11,,6,1,1,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF CAMERON Wards 1-3",792,504,245,3,25,,6,0,0,0,1,0,0,0,0,0,0,0,8
,"VILLAGE OF DALLAS Ward 1",180,113,60,1,5,,0,0,1,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF HAUGEN Ward 1",159,85,65,3,2,,1,0,0,0,2,0,0,0,0,0,0,0,1
,"VILLAGE OF NEW AUBURN Ward 2",10,5,2,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF NEW AUBURN Ward 3",2,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF PRAIRIE FARM Ward 1",192,122,60,1,7,,2,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF TURTLE LAKE Ward 1",376,220,129,1,17,,6,1,0,1,0,0,0,0,0,0,0,0,1
,"CITY OF BARRON Ward 1-7","1,362",759,511,10,46,,15,3,2,0,4,0,0,0,0,0,0,0,12
,"CITY OF CHETEK Wards 1-4","1,019",582,381,7,36,,6,1,0,0,4,0,0,2,0,0,0,0,0
,"CITY OF CUMBERLAND Ward 1-4","1,118",597,459,3,39,,8,1,1,0,3,0,0,0,0,0,0,0,7
,"CITY OF RICE LAKE Wards 1-13","3,892","2,116","1,554",20,148,,43,3,1,0,7,0,0,0,0,0,0,0,0
,"County Totals:","22,671","13,614","7,889",117,727,,170,17,11,1,57,0,0,3,1,0,0,0,64
"BAYFIELD ","TOWN OF BARKSDALE Ward 1",482,220,233,4,8,,7,0,0,0,1,0,0,0,0,0,0,0,9
,"TOWN OF BARNES Ward 1",574,293,254,1,11,,5,0,1,0,3,0,0,0,0,0,0,0,6
,"TOWN OF BAYFIELD Ward 1",498,146,327,0,6,,15,0,0,0,2,0,0,0,0,0,0,0,2
,"TOWN OF BAYVIEW Ward 1",336,141,181,0,7,,1,0,0,0,3,0,0,0,0,0,0,0,3
,"TOWN OF BELL Ward 1",233,83,136,0,7,,6,0,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF CABLE Ward 1",516,299,193,2,16,,2,0,0,0,1,0,0,0,0,0,0,0,3
,"TOWN OF CLOVER Ward 1",176,76,86,0,6,,5,0,0,0,1,0,0,0,0,0,0,0,2
,"TOWN OF DELTA Ward 1",208,113,84,0,6,,2,0,0,0,0,0,0,0,0,0,0,0,3
,"TOWN OF DRUMMOND Ward 1",335,169,153,0,4,,4,1,0,0,2,0,0,0,0,0,0,0,2
,"TOWN OF EILEEN Ward 1-2",417,220,178,0,11,,5,0,0,0,0,0,0,0,0,0,0,0,3
,"TOWN OF GRAND VIEW Ward 1",296,147,131,0,6,,6,0,1,0,1,0,0,0,0,0,0,0,4
,"TOWN OF HUGHES Ward 1",301,163,130,0,3,,2,1,0,0,0,0,0,0,0,0,0,0,2
,"TOWN OF IRON RIVER Ward 1-2",736,384,322,2,15,,8,0,0,0,1,0,0,0,0,0,0,0,4
,"TOWN OF KELLY Ward 1",259,146,97,1,4,,4,0,0,0,1,4,0,1,0,0,0,0,1
,"TOWN OF KEYSTONE Ward 1",197,104,83,2,5,,1,0,1,0,0,0,0,0,0,0,0,0,1
,"TOWN OF LINCOLN Ward 1",182,103,65,2,3,,6,0,1,0,1,0,0,0,0,0,0,0,1
,"TOWN OF MASON Ward 1",166,88,74,0,1,,1,0,0,0,1,0,0,0,0,0,0,0,1
,"TOWN OF NAMAKAGON Ward 1",238,133,100,0,2,,1,0,0,0,0,0,0,0,0,0,0,0,2
,"TOWN OF ORIENTA Ward 1",90,46,39,0,1,,4,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF OULU Ward 1",335,166,147,3,10,,9,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF PILSEN Ward 1",139,59,74,1,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF PORT WING Ward 1",262,109,146,0,4,,1,0,0,0,0,0,0,0,0,0,0,0,2
,"TOWN OF RUSSELL Ward 1-2",548,89,405,1,4,,28,0,1,0,1,0,0,0,0,0,0,0,19
,"TOWN OF TRIPP Ward 1",140,78,54,2,6,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF WASHBURN Ward 1",346,130,196,0,7,,8,0,0,0,3,0,0,0,0,0,0,0,2
,"VILLAGE OF MASON Ward 1",41,18,20,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF ASHLAND Ward 12",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF BAYFIELD Ward 1-4",347,73,253,0,8,,12,0,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF WASHBURN Ward 1-4","1,214",328,792,3,31,,39,2,1,0,7,0,0,0,0,0,0,0,11
,"County Totals:","9,612","4,124","4,953",24,197,,185,4,6,0,29,4,0,1,0,0,0,0,85
"BROWN ","TOWN OF EATON Wards 1-2",927,591,291,5,24,,9,0,0,0,1,0,0,0,0,0,0,0,6
,"TOWN OF GLENMORE Wards 1-2",594,391,167,4,22,,3,0,1,0,1,0,0,0,0,0,0,0,5
,"TOWN OF GREEN BAY Wards 1-3","1,215",800,363,8,26,,10,1,0,0,4,0,0,0,0,0,0,0,3
,"TOWN OF HOLLAND Wards 1-2",895,570,273,1,37,,4,0,2,0,4,0,0,0,0,0,0,0,4
,"TOWN OF HUMBOLDT Wards 1-2",748,488,222,2,22,,5,0,2,0,3,0,0,0,0,0,0,0,4
,"TOWN OF LAWRENCE Wards 1-3","1,408",842,483,6,44,,10,0,0,0,8,0,0,0,0,0,0,0,15
,"TOWN OF LAWRENCE Wards 4-6","1,665","1,064",507,4,63,,11,0,0,0,4,0,0,0,0,0,0,0,12
,"TOWN OF LEDGEVIEW Wards 1-3,8-10","2,318","1,315",851,6,100,,14,2,1,0,7,0,0,0,0,0,0,0,22
,"TOWN OF LEDGEVIEW Wards 4-7","2,014","1,154",729,4,87,,19,0,1,0,4,0,0,0,0,0,0,0,16
,"TOWN OF MORRISON Wards 1-2",879,653,173,4,39,,6,2,0,0,0,0,0,0,0,0,0,0,2
,"TOWN OF NEW DENMARK Wards 1-3",940,598,294,4,30,,9,0,0,0,3,0,0,0,0,0,0,0,2
,"TOWN OF PITTSFIELD Wards 1-3","1,647","1,079",480,3,64,,10,1,0,0,5,0,0,0,0,0,0,0,5
,"TOWN OF ROCKLAND Wards 1-3","1,095",692,338,10,37,,7,0,0,0,4,2,0,0,0,0,0,0,5
,"TOWN OF SCOTT Wards 1-4","2,274","1,294",868,8,58,,18,1,2,0,0,0,0,0,0,0,0,0,25
,"TOWN OF WRIGHTSTOWN Wards 1-3","1,251",820,365,4,39,,9,0,0,0,4,1,0,0,0,0,0,0,9
,"VILLAGE OF ALLOUEZ Ward 1-2","2,053",856,"1,010",11,106,,35,0,1,0,12,0,0,0,0,0,0,0,22
,"VILLAGE OF ALLOUEZ Ward 3-4","1,793",847,852,4,55,,9,0,2,0,3,0,0,1,0,0,0,0,20
,"VILLAGE OF ALLOUEZ Ward 5-6","2,278","1,135",988,6,85,,11,2,2,0,17,0,0,0,0,0,0,0,32
,"VILLAGE OF ALLOUEZ Ward 7-9","1,849",926,801,3,64,,19,2,2,0,13,0,0,0,0,0,0,0,19
,"VILLAGE OF ALLOUEZ Ward 10",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF ASHWAUBENON Wards 1-2","1,234",592,521,12,69,,19,1,1,0,2,0,0,0,0,0,0,0,17
,"VILLAGE OF ASHWAUBENON Wards 3-4","1,259",668,501,10,46,,21,0,0,0,0,0,0,0,0,0,0,0,13
,"VILLAGE OF ASHWAUBENON Wards 5-6","1,478",739,643,8,60,,14,0,1,0,0,0,0,0,0,0,0,0,13
,"VILLAGE OF ASHWAUBENON Wards 7-8","1,747",964,681,3,64,,14,0,1,0,6,0,0,0,0,0,0,0,14
,"VILLAGE OF ASHWAUBENON Wards 9-10","1,943","1,106",721,5,74,,16,0,0,0,5,0,0,0,0,0,0,0,16
,"VILLAGE OF ASHWAUBENON Wards 11-12","1,648",804,735,3,63,,16,0,1,0,7,0,0,0,0,0,0,0,19
,"VILLAGE OF BELLEVUE Wards 1-6","3,727","1,816","1,690",15,137,,36,1,1,0,2,0,0,0,0,0,0,0,29
,"VILLAGE OF BELLEVUE Wards 7-10","4,261","2,406","1,628",15,145,,27,1,0,0,0,3,0,0,0,0,0,0,36
,"VILLAGE OF DENMARK Wards 1-3","1,068",646,361,1,38,,11,0,2,0,4,0,0,0,0,0,0,0,5
,"VILLAGE OF HOBART Wards 1-8","4,615","2,623","1,701",16,166,,46,3,1,0,1,0,0,0,0,0,0,0,58
,"VILLAGE OF HOBART Ward 9",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF HOWARD Wards 1,12","1,108",640,399,5,38,,11,1,1,0,2,0,0,0,0,0,0,0,11
,"VILLAGE OF HOWARD Wards 2,8,11","2,487","1,408",944,7,80,,16,1,0,0,8,0,0,0,0,0,0,0,23
,"VILLAGE OF HOWARD Wards 3-4,6","1,338",691,555,1,54,,22,2,0,0,0,0,0,0,0,0,0,0,13
,"VILLAGE OF HOWARD Ward 5",380,230,129,0,15,,2,0,0,0,0,0,0,0,0,0,0,0,4
,"VILLAGE OF HOWARD Ward 7",678,406,239,4,22,,3,0,0,0,0,0,0,0,0,0,0,0,4
,"VILLAGE OF HOWARD Wards 9-10,18","1,768",956,712,2,68,,16,1,0,0,9,0,0,0,0,0,0,0,4
,"VILLAGE OF HOWARD Wards 13-14","1,116",678,382,7,37,,6,0,0,0,1,0,0,0,0,0,0,0,5
