city,county,totalvote16,REP16,DEM16,CON16,LIB16,hidden16,WGR16,IND16,SCATTERING16,totalvote12,REP12,DEM12,CON12,IND12,hidden12,SCATTERING12
TOWN OF ADAMS,ADAMS,618,377,207,3,22,0,4,4,1,639,270,357,3,7,0,0
TOWN OF BIG FLATS,ADAMS,490,300,169,4,10,0,4,0,3,497,209,282,0,6,0,0
TOWN OF COLBURN,ADAMS,130,85,42,0,1,0,2,0,0,124,58,63,0,3,0,0
TOWN OF DELL PRAIRIE,ADAMS,820,474,301,3,27,0,10,2,3,845,411,429,2,3,0,0
TOWN OF EASTON,ADAMS,522,336,169,6,6,0,1,1,3,512,237,270,1,4,0,0
TOWN OF JACKSON,ADAMS,565,314,225,0,15,0,3,3,5,567,253,310,0,4,0,0
TOWN OF LEOLA,ADAMS,137,116,18,0,2,0,0,1,0,154,102,50,1,1,0,0
TOWN OF LINCOLN,ADAMS,180,98,76,1,2,0,1,2,0,166,80,84,2,0,0,0
TOWN OF MONROE,ADAMS,237,129,102,0,4,0,0,2,0,263,126,135,0,2,0,0
TOWN OF NEW CHESTER,ADAMS,401,247,138,1,14,0,0,0,1,428,160,266,0,2,0,0
TOWN OF NEW HAVEN,ADAMS,339,176,145,3,9,0,4,0,2,371,152,207,1,9,0,0
TOWN OF PRESTON,ADAMS,694,397,270,3,9,0,10,2,3,685,285,392,2,3,0,0
TOWN OF QUINCY,ADAMS,648,357,269,3,12,0,6,1,0,755,253,497,1,2,0,0
TOWN OF RICHFIELD,ADAMS,86,56,27,0,2,0,0,1,0,88,42,44,0,2,0,0
TOWN OF ROME,ADAMS,1951,1169,715,7,33,0,13,0,14,1860,1025,826,1,7,0,0
TOWN OF SPRINGVILLE,ADAMS,649,414,211,2,10,0,7,1,4,603,284,313,0,6,0,0
TOWN OF STRONGS PRAIRIE,ADAMS,609,376,213,2,11,0,6,0,1,619,280,330,1,6,0,0
VILLAGE OF FRIENDSHIP,ADAMS,285,154,117,1,11,0,2,0,0,298,109,185,0,0,0,0
CITY OF ADAMS,ADAMS,748,377,325,6,15,0,6,7,12,798,298,497,1,2,0,0
CITY OF WISCONSIN DELLS,ADAMS,21,14,6,0,1,0,0,0,0,15,10,5,0,0,0,0
TOWN OF AGENDA,ASHLAND,227,151,68,1,6,0,0,0,1,239,136,101,0,1,0,0
TOWN OF ASHLAND,ASHLAND,311,147,144,1,8,0,7,1,3,328,105,211,4,8,0,0
TOWN OF CHIPPEWA,ASHLAND,209,128,72,1,4,0,1,1,2,223,111,105,1,5,0,0
TOWN OF GINGLES,ASHLAND,430,198,211,3,5,0,9,0,4,427,143,276,2,6,0,0
TOWN OF GORDON,ASHLAND,150,94,49,0,5,0,0,1,1,183,82,100,0,1,0,0
TOWN OF JACOBS,ASHLAND,334,204,120,0,6,0,1,2,1,377,156,216,0,5,0,0
TOWN OF LA POINTE,ASHLAND,242,53,159,0,8,0,17,1,4,267,51,209,1,6,0,0
TOWN OF MARENGO,ASHLAND,212,101,92,0,8,0,5,4,2,210,82,125,0,3,0,0
TOWN OF MORSE,ASHLAND,297,138,150,0,2,0,1,1,5,307,121,183,2,1,0,0
TOWN OF PEEKSVILLE,ASHLAND,95,52,33,1,4,0,3,1,1,107,54,50,1,2,0,0
TOWN OF SANBORN,ASHLAND,498,72,398,2,6,0,11,1,8,576,68,503,0,4,0,0
TOWN OF SHANAGOLDEN,ASHLAND,64,32,28,0,2,0,1,0,1,73,34,39,0,0,0,0
TOWN OF WHITE RIVER,ASHLAND,464,309,128,4,6,0,14,1,2,475,266,202,2,5,0,0
VILLAGE OF BUTTERNUT,ASHLAND,177,84,86,0,4,0,1,0,2,175,66,108,0,1,0,0
CITY OF ASHLAND,ASHLAND,4025,1388,2348,8,116,0,95,12,58,4059,1240,2741,2,62,0,0
CITY OF MELLEN,ASHLAND,297,152,140,0,4,0,1,0,0,346,105,230,3,8,0,0
TOWN OF ALMENA,BARRON,483,306,148,4,21,0,1,3,0,482,228,249,0,5,0,0
TOWN OF ARLAND,BARRON,317,180,107,4,19,0,7,0,0,325,149,169,5,2,0,0
TOWN OF BARRON,BARRON,375,255,97,2,16,0,1,4,0,404,257,142,0,4,0,0
TOWN OF BEAR LAKE,BARRON,377,226,133,1,10,0,5,2,0,364,164,195,0,5,0,0
TOWN OF CEDAR LAKE,BARRON,697,471,210,1,11,0,4,0,0,647,376,268,0,2,0,0
TOWN OF CHETEK,BARRON,1055,651,375,0,22,0,6,1,0,1043,552,477,2,12,0,0
TOWN OF CLINTON,BARRON,355,220,112,3,19,0,0,1,0,354,199,149,0,5,0,0
TOWN OF CRYSTAL LAKE,BARRON,411,266,137,2,2,0,0,4,0,409,204,195,2,8,0,0
TOWN OF CUMBERLAND,BARRON,464,269,166,2,22,0,0,0,5,452,230,214,2,5,0,0
TOWN OF DALLAS,BARRON,288,191,78,3,15,0,0,1,0,295,168,118,3,5,0,0
TOWN OF DOVRE,BARRON,387,231,138,2,11,0,2,2,1,374,189,185,0,0,0,0
TOWN OF DOYLE,BARRON,288,210,67,2,8,0,1,0,0,284,174,106,0,4,0,0
TOWN OF LAKELAND,BARRON,563,341,201,1,15,0,3,2,0,575,297,272,0,6,0,0
TOWN OF MAPLE GROVE,BARRON,485,342,110,4,23,0,2,1,3,497,323,163,1,9,0,0
TOWN OF MAPLE PLAIN,BARRON,480,257,207,1,9,0,4,1,1,481,239,238,1,3,0,0
TOWN OF OAK GROVE,BARRON,491,298,177,1,11,0,1,1,2,502,241,255,2,2,0,0
TOWN OF PRAIRIE FARM,BARRON,278,169,92,3,9,0,4,0,1,273,124,142,2,2,0,0
TOWN OF PRAIRIE LAKE,BARRON,855,555,261,5,25,0,5,4,0,861,481,367,3,9,0,0
TOWN OF RICE LAKE,BARRON,1595,947,580,3,32,0,12,9,12,1641,843,779,1,15,0,0
TOWN OF SIOUX CREEK,BARRON,294,184,94,3,11,0,0,2,0,302,178,122,0,2,0,0
TOWN OF STANFOLD,BARRON,381,243,122,7,7,0,1,0,1,371,194,177,0,0,0,0
TOWN OF STANLEY,BARRON,1315,834,407,7,40,0,13,7,7,1325,734,576,1,9,0,0
TOWN OF SUMNER,BARRON,393,249,128,0,10,0,2,2,2,399,208,190,0,1,0,0
TOWN OF TURTLE LAKE,BARRON,296,195,89,2,8,0,1,1,0,299,150,139,1,9,0,0
TOWN OF VANCE CREEK,BARRON,343,210,113,4,12,0,2,2,0,313,159,148,0,6,0,0
VILLAGE OF ALMENA,BARRON,303,209,74,1,11,0,6,2,0,276,147,127,0,2,0,0
VILLAGE OF CAMERON,BARRON,792,504,245,3,25,0,6,1,8,757,388,363,1,4,0,0
VILLAGE OF DALLAS,BARRON,180,113,60,1,5,0,0,1,0,194,105,83,1,5,0,0
VILLAGE OF HAUGEN,BARRON,159,85,65,3,2,0,1,2,1,149,65,80,1,3,0,0
VILLAGE OF NEW AUBURN,BARRON,12,7,2,0,3,0,0,0,0,9,7,2,0,0,0,0
VILLAGE OF PRAIRIE FARM,BARRON,192,122,60,1,7,0,2,0,0,182,77,103,1,0,0,0
VILLAGE OF TURTLE LAKE,BARRON,376,220,129,1,17,0,6,2,1,402,181,213,1,5,0,0
CITY OF BARRON,BARRON,1362,759,511,10,46,0,15,9,12,1380,648,713,4,15,0,0
CITY OF CHETEK,BARRON,1019,582,381,7,36,0,6,7,0,970,471,482,0,16,0,0
CITY OF CUMBERLAND,BARRON,1118,597,459,3,39,0,8,5,7,1050,439,598,2,10,0,0
CITY OF RICE LAKE,BARRON,3892,2116,1554,20,148,0,43,11,0,4051,1854,2091,10,59,0,0
TOWN OF BARKSDALE,BAYFIELD,482,220,233,4,8,0,7,1,9,482,198,272,2,10,0,0
TOWN OF BARNES,BAYFIELD,574,293,254,1,11,0,5,4,6,567,253,306,1,7,0,0
TOWN OF BAYFIELD,BAYFIELD,498,146,327,0,6,0,15,2,2,534,150,372,1,9,0,0
TOWN OF BAYVIEW,BAYFIELD,336,141,181,0,7,0,1,3,3,368,138,229,0,1,0,0
TOWN OF BELL,BAYFIELD,233,83,136,0,7,0,6,0,1,226,82,138,0,6,0,0
TOWN OF CABLE,BAYFIELD,516,299,193,2,16,0,2,1,3,528,270,256,1,1,0,0
TOWN OF CLOVER,BAYFIELD,176,76,86,0,6,0,5,1,2,179,70,104,0,5,0,0
TOWN OF DELTA,BAYFIELD,208,113,84,0,6,0,2,0,3,208,108,100,0,0,0,0
TOWN OF DRUMMOND,BAYFIELD,335,169,153,0,4,0,4,3,2,327,139,182,0,6,0,0
TOWN OF EILEEN,BAYFIELD,417,220,178,0,11,0,5,0,3,420,170,245,1,3,0,0
TOWN OF GRAND VIEW,BAYFIELD,296,147,131,0,6,0,6,2,4,295,111,178,0,5,0,0
TOWN OF HUGHES,BAYFIELD,301,163,130,0,3,0,2,1,2,299,127,168,0,4,0,0
TOWN OF IRON RIVER,BAYFIELD,736,384,322,2,15,0,8,1,4,738,308,418,2,9,0,0
TOWN OF KELLY,BAYFIELD,259,146,97,1,4,0,4,6,1,251,107,141,0,2,0,0
TOWN OF KEYSTONE,BAYFIELD,197,104,83,2,5,0,1,1,1,212,87,121,1,2,0,0
TOWN OF LINCOLN,BAYFIELD,182,103,65,2,3,0,6,2,1,181,77,101,0,2,0,0
TOWN OF MASON,BAYFIELD,166,88,74,0,1,0,1,1,1,179,84,94,0,1,0,0
TOWN OF NAMAKAGON,BAYFIELD,238,133,100,0,2,0,1,0,2,223,123,97,1,1,0,0
TOWN OF ORIENTA,BAYFIELD,90,46,39,0,1,0,4,0,0,86,37,42,0,7,0,0
TOWN OF OULU,BAYFIELD,335,166,147,3,10,0,9,0,0,332,151,177,1,3,0,0
TOWN OF PILSEN,BAYFIELD,139,59,74,1,5,0,0,0,0,146,52,92,0,2,0,0
TOWN OF PORT WING,BAYFIELD,262,109,146,0,4,0,1,0,2,274,99,173,0,1,0,0
TOWN OF RUSSELL,BAYFIELD,548,89,405,1,4,0,28,2,19,638,72,553,0,13,0,0
TOWN OF TRIPP,BAYFIELD,140,78,54,2,6,0,0,0,0,144,73,67,1,3,0,0
TOWN OF WASHBURN,BAYFIELD,346,130,196,0,7,0,8,3,2,362,121,237,1,3,0,0
VILLAGE OF MASON,BAYFIELD,41,18,20,0,0,0,3,0,0,50,16,32,0,2,0,0
CITY OF BAYFIELD,BAYFIELD,347,73,253,0,8,0,12,0,1,354,90,260,0,4,0,0
CITY OF WASHBURN,BAYFIELD,1214,328,792,3,31,0,39,10,11,1185,290,878,4,11,0,0
TOWN OF EATON,BROWN,927,591,291,5,24,0,9,1,6,906,483,409,1,10,0,0
TOWN OF GLENMORE,BROWN,594,391,167,4,22,0,3,2,5,637,377,255,1,3,0,0
TOWN OF GREEN BAY,BROWN,1215,800,363,8,26,0,10,5,3,1169,704,454,2,7,0,0
TOWN OF HOLLAND,BROWN,895,570,273,1,37,0,4,6,4,900,554,331,1,14,0,0
TOWN OF HUMBOLDT,BROWN,748,488,222,2,22,0,5,5,4,756,421,326,1,8,0,0
TOWN OF LAWRENCE,BROWN,3073,1906,990,10,107,0,21,12,27,2708,1665,1016,6,17,0,0
TOWN OF LEDGEVIEW,BROWN,4332,2469,1580,10,187,0,33,15,38,4044,2528,1488,2,24,0,0
TOWN OF MORRISON,BROWN,879,653,173,4,39,0,6,2,2,900,624,269,1,4,0,0
TOWN OF NEW DENMARK,BROWN,940,598,294,4,30,0,9,3,2,916,501,408,1,5,0,0
TOWN OF PITTSFIELD,BROWN,1647,1079,480,3,64,0,10,6,5,1631,996,617,3,14,0,0
TOWN OF ROCKLAND,BROWN,1095,692,338,10,37,0,7,6,5,1057,684,366,2,5,0,0
TOWN OF SCOTT,BROWN,2274,1294,868,8,58,0,18,3,25,2255,1213,1019,0,19,0,0
TOWN OF WRIGHTSTOWN,BROWN,1251,820,365,4,39,0,9,5,9,1214,731,464,2,16,0,0
VILLAGE OF ALLOUEZ,BROWN,7973,3764,3651,24,310,0,74,57,93,8136,3980,4070,12,65,0,0
VILLAGE OF ASHWAUBENON,BROWN,9309,4873,3802,41,376,0,100,25,92,9522,4900,4495,17,92,0,0
VILLAGE OF BELLEVUE,BROWN,7988,4222,3318,30,282,0,63,8,65,7733,4050,3624,8,43,0,0
VILLAGE OF DENMARK,BROWN,1068,646,361,1,38,0,11,6,5,1062,528,521,1,10,0,0
