county_city_key,totalvote16,REP16,DEM16,CON16,LIB16,hidden16,WGR16,IND16,SCATTERING16,totalvote12,REP12,DEM12,CON12,IND12,hidden12,SCATTERING12,scanner,voting_machine
ADAMS___TOWN OF ADAMS,618,377,207,3,22,0,4,4,1,639,270,357,3,7,0,0,None,Vote Pad-Vote Pad (non-electronic)
ADAMS___TOWN OF BIG FLATS,490,300,169,4,10,0,4,0,3,497,209,282,0,6,0,0,None,Dominion (Sequoia)/Command Central-Edge
ADAMS___TOWN OF COLBURN,130,85,42,0,1,0,2,0,0,124,58,63,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
ADAMS___TOWN OF DELL PRAIRIE,820,474,301,3,27,0,10,2,3,845,411,429,2,3,0,0,None,Vote Pad-Vote Pad (non-electronic)
ADAMS___TOWN OF EASTON,522,336,169,6,6,0,1,1,3,512,237,270,1,4,0,0,Dominion (Sequoia)- Optech Insight,Dominion (Sequoia)/Command Central-Edge
ADAMS___TOWN OF JACKSON,565,314,225,0,15,0,3,3,5,567,253,310,0,4,0,0,None,Vote Pad-Vote Pad (non-electronic)
ADAMS___TOWN OF LEOLA,137,116,18,0,2,0,0,1,0,154,102,50,1,1,0,0,None,Vote Pad-Vote Pad (non-electronic)
ADAMS___TOWN OF LINCOLN,180,98,76,1,2,0,1,2,0,166,80,84,2,0,0,0,Dominion (Sequoia)- Optech Insight,Dominion (Sequoia)/Command Central-Edge
ADAMS___TOWN OF MONROE,237,129,102,0,4,0,0,2,0,263,126,135,0,2,0,0,Dominion (Sequoia)- Optech Insight,Dominion (Sequoia)/Command Central-Edge
ADAMS___TOWN OF NEW CHESTER,401,247,138,1,14,0,0,0,1,428,160,266,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
ADAMS___TOWN OF NEW HAVEN,339,176,145,3,9,0,4,0,2,371,152,207,1,9,0,0,Dominion (Sequoia)- Optech Insight,Dominion (Sequoia)/Command Central-Edge
ADAMS___TOWN OF PRESTON,694,397,270,3,9,0,10,2,3,685,285,392,2,3,0,0,None,Vote Pad-Vote Pad (non-electronic)
ADAMS___TOWN OF QUINCY,648,357,269,3,12,0,6,1,0,755,253,497,1,2,0,0,None,Vote Pad-Vote Pad (non-electronic)
